,Left_Z[N],Right_Z[N]
1, 10.3, -23.7
2, 10.3, -23.7
3, 10.3, -23.7
4, 10.3, -23.7
5, 10.3, -23.7
6, 10.3, -23.7
7, 10.3, -23.7
8, 10.3, -23.7
9, 10.3, -23.7
10, 10.3, -23.7
11, 10.3, -23.7
12, 10.3, -23.7
13, 10.3, -23.7
14, 10.3, -23.7
15, 10.3, -23.7
16, 10.3, -23.7
17, 10.3, -23.8
18, 10.3, -23.8
19, 10.3, -23.8
20, 10.3, -23.8
21, 10.3, -23.8
22, 10.3, -23.8
23, 10.3, -23.8
24, 10.3, -23.8
25, 10.3, -23.8
26, 10.3, -23.8
27, 10.3, -23.8
28, 10.3, -23.7
29, 10.3, -23.7
30, 10.3, -23.7
31, 10.3, -23.7
32, 10.3, -23.7
33, 10.3, -23.7
34, 10.3, -23.7
35, 10.3, -23.7
36, 10.2, -23.7
37, 10.2, -23.7
38, 10.2, -23.7
39, 10.2, -23.7
40, 10.2, -23.6
41, 10.2, -23.6
42, 10.2, -23.6
43, 10.2, -23.6
44, 10.2, -23.6
45, 10.2, -23.6
46, 10.2, -23.6
47, 10.2, -23.6
48, 10.2, -23.6
49, 10.3, -23.6
50, 10.3, -23.6
51, 10.3, -23.7
52, 10.3, -23.7
53, 10.3, -23.7
54, 10.3, -23.7
55, 10.3, -23.7
56, 10.3, -23.7
57, 10.3, -23.7
58, 10.3, -23.7
59, 10.3, -23.7
60, 10.3, -23.7
61, 10.3, -23.6
62, 10.3, -23.6
63, 10.3, -23.6
64, 10.3, -23.6
65, 10.3, -23.6
66, 10.3, -23.6
67, 10.3, -23.6
68, 10.3, -23.6
69, 10.3, -23.6
70, 10.3, -23.6
71, 10.3, -23.7
72, 10.3, -23.7
73, 10.4, -23.7
74, 10.4, -23.7
75, 10.3, -23.7
76, 10.3, -23.7
77, 10.3, -23.7
78, 10.2, -23.7
79, 10.3, -23.7
80, 10.3, -23.7
81, 10.3, -23.7
82, 10.3, -23.7
83, 10.3, -23.8
84, 10.3, -23.8
85, 10.3, -23.7
86, 10.3, -23.7
87, 10.3, -23.7
88, 10.3, -23.7
89, 10.3, -23.7
90, 10.3, -23.7
91, 10.3, -23.7
92, 10.3, -23.7
93, 10.3, -23.7
94, 10.3, -23.7
95, 10.3, -23.7
96, 10.3, -23.7
97, 10.3, -23.7
98, 10.3, -23.7
99, 10.3, -23.7
100, 10.3, -23.7
101, 10.3, -23.7
102, 10.3, -23.6
103, 10.3, -23.7
104, 10.3, -23.7
105, 10.3, -23.7
106, 10.3, -23.7
107, 10.3, -23.7
108, 10.3, -23.7
109, 10.3, -23.7
110, 10.3, -23.7
111, 10.3, -23.7
112, 10.3, -23.7
113, 10.3, -23.7
114, 10.3, -23.7
115, 10.3, -23.7
116, 10.3, -23.7
117, 10.3, -23.7
118, 10.3, -23.7
119, 10.3, -23.7
120, 10.3, -23.7
121, 10.3, -23.7
122, 10.3, -23.7
123, 10.3, -23.7
124, 10.3, -23.7
125, 10.3, -23.7
126, 10.3, -23.7
127, 10.3, -23.7
128, 10.3, -23.6
129, 10.3, -23.6
130, 10.3, -23.6
131, 10.3, -23.6
132, 10.3, -23.7
133, 10.3, -23.7
134, 10.3, -23.7
135, 10.3, -23.7
136, 10.3, -23.7
137, 10.3, -23.7
138, 10.3, -23.7
139, 10.2, -23.7
140, 10.2, -23.7
141, 10.2, -23.7
142, 10.2, -23.7
143, 10.2, -23.7
144, 10.2, -23.7
145, 10.2, -23.7
146, 10.2, -23.7
147, 10.2, -23.7
148, 10.2, -23.7
149, 10.2, -23.7
150, 10.2, -23.7
151, 10.2, -23.7
152, 10.2, -23.7
153, 10.2, -23.7
154, 10.2, -23.7
155, 10.2, -23.7
156, 10.2, -23.7
157, 10.2, -23.8
158, 10.2, -23.9
159, 10.2, -23.9
160, 10.2, -23.9
161, 10.2, -23.9
162, 10.2, -23.8
