,No.1 R_Z,No.2 R_Z,No.3 R_Z,No.4 R_Z,No.5 R_Z,No.6 R_Z,No.7 R_Z,No.8 R_Z,No.9 R_Z,No.10 R_Z
1, -24.4, -24.4, -24.6, -24.6, -24.6, -24.7, -24.7, -24.8, -24.8, -24.8
2, -24.4, -24.4, -24.6, -24.6, -24.6, -24.7, -24.7, -24.8, -24.8, -24.9
3, -24.4, -24.4, -24.6, -24.6, -24.6, -24.7, -24.7, -24.8, -24.8, -24.9
4, -24.5, -24.4, -24.6, -24.6, -24.6, -24.6, -24.7, -24.8, -24.8, -24.9
5, -24.5, -24.4, -24.6, -24.7, -24.6, -24.6, -24.7, -24.8, -24.8, -24.9
6, -24.5, -24.4, -24.6, -24.7, -24.6, -24.5, -24.7, -24.8, -24.8, -24.8
7, -24.5, -24.4, -24.6, -24.7, -24.6, -24.5, -24.7, -24.8, -24.7, -24.8
8, -24.5, -24.4, -24.6, -24.7, -24.6, -24.5, -24.7, -24.8, -24.7, -24.8
9, -24.5, -24.5, -24.6, -24.7, -24.6, -24.5, -24.7, -24.8, -24.7, -24.8
10, -24.5, -24.5, -24.6, -24.7, -24.6, -24.5, -24.7, -24.7, -24.8, -24.8
11, -24.5, -24.5, -24.6, -24.7, -24.7, -24.6, -24.8, -24.7, -24.8, -24.8
12, -24.5, -24.5, -24.6, -24.7, -24.7, -24.6, -24.8, -24.7, -24.8, -24.8
13, -24.5, -24.5, -24.6, -24.7, -24.7, -24.6, -24.8, -24.7, -24.8, -24.8
14, -24.5, -24.5, -24.5, -24.7, -24.7, -24.6, -24.8, -24.7, -24.8, -24.8
15, -24.5, -24.5, -24.5, -24.7, -24.7, -24.6, -24.8, -24.7, -24.8, -24.8
16, -24.5, -24.5, -24.5, -24.7, -24.7, -24.6, -24.8, -24.7, -24.8, -24.8
17, -24.5, -24.5, -24.5, -24.7, -24.7, -24.6, -24.8, -24.7, -24.8, -24.8
18, -24.5, -24.5, -24.5, -24.6, -24.7, -24.6, -24.8, -24.7, -24.8, -24.8
19, -24.5, -24.5, -24.5, -24.6, -24.7, -24.6, -24.8, -24.7, -24.8, -24.8
20, -24.5, -24.5, -24.5, -24.6, -24.7, -24.6, -24.8, -24.7, -24.8, -24.8
21, -24.5, -24.5, -24.5, -24.6, -24.7, -24.6, -24.8, -24.7, -24.8, -24.8
22, -24.5, -24.5, -24.5, -24.6, -24.7, -24.6, -24.8, -24.7, -24.8, -24.8
23, -24.5, -24.5, -24.5, -24.6, -24.7, -24.6, -24.8, -24.7, -24.8, -24.8
24, -24.5, -24.6, -24.5, -24.6, -24.7, -24.6, -24.8, -24.7, -24.8, -24.8
25, -24.5, -24.6, -24.5, -24.6, -24.7, -24.6, -24.8, -24.7, -24.8, -24.8
26, -24.5, -24.6, -24.5, -24.6, -24.7, -24.6, -24.8, -24.7, -24.8, -24.8
27, -24.5, -24.6, -24.5, -24.6, -24.7, -24.7, -24.8, -24.7, -24.8, -24.8
28, -24.4, -24.6, -24.5, -24.6, -24.7, -24.7, -24.8, -24.7, -24.8, -24.8
29, -24.4, -24.6, -24.5, -24.6, -24.7, -24.7, -24.7, -24.7, -24.9, -24.8
30, -24.4, -24.6, -24.5, -24.6, -24.7, -24.7, -24.7, -24.7, -24.9, -24.8
31, -24.4, -24.6, -24.5, -24.6, -24.7, -24.6, -24.7, -24.7, -24.9, -24.8
32, -24.4, -24.6, -24.5, -24.6, -24.7, -24.6, -24.7, -24.7, -24.9, -24.8
33, -24.4, -24.6, -24.5, -24.6, -24.7, -24.6, -24.7, -24.7, -24.9, -24.8
34, -24.4, -24.6, -24.5, -24.6, -24.7, -24.6, -24.7, -24.7, -24.9, -24.8
35, -24.4, -24.6, -24.5, -24.6, -24.7, -24.6, -24.7, -24.7, -24.9, -24.8
36, -24.4, -24.6, -24.5, -24.6, -24.7, -24.6, -24.7, -24.7, -24.9, -24.8
