,Left_Z[N],Right_Z[N]
1, 8.5, -24.4
2, 8.5, -24.4
3, 8.5, -24.4
4, 8.5, -24.4
5, 8.5, -24.4
6, 8.5, -24.4
7, 8.5, -24.4
8, 8.5, -24.4
9, 8.5, -24.5
10, 8.5, -24.5
11, 8.5, -24.5
12, 8.5, -24.5
13, 8.5, -24.5
14, 8.5, -24.5
15, 8.5, -24.5
16, 8.5, -24.5
17, 8.5, -24.5
18, 8.5, -24.5
19, 8.5, -24.5
20, 8.5, -24.5
21, 8.5, -24.5
22, 8.5, -24.5
23, 8.5, -24.5
24, 8.5, -24.6
25, 8.5, -24.6
26, 8.5, -24.6
27, 8.5, -24.6
28, 8.5, -24.6
29, 8.5, -24.6
30, 8.5, -24.6
31, 8.5, -24.6
32, 8.5, -24.6
33, 8.5, -24.6
34, 8.5, -24.6
35, 8.5, -24.6
36, 8.5, -24.6
37, 8.5, -24.6
38, 8.5, -24.6
39, 8.5, -24.6
40, 8.5, -24.6
41, 8.5, -24.6
42, 8.5, -24.6
43, 8.5, -24.6
44, 8.5, -24.6
45, 8.5, -24.6
46, 8.5, -24.6
47, 8.5, -24.6
48, 8.5, -24.6
49, 8.5, -24.6
50, 8.5, -24.6
51, 8.5, -24.5
52, 8.5, -24.5
53, 8.5, -24.5
54, 8.5, -24.5
55, 8.5, -24.5
56, 8.5, -24.5
57, 8.5, -24.5
58, 8.5, -24.5
59, 8.5, -24.5
60, 8.4, -24.5
61, 8.4, -24.5
62, 8.4, -24.5
63, 8.4, -24.5
64, 8.4, -24.5
65, 8.4, -24.5
66, 8.4, -24.5
67, 8.4, -24.5
68, 8.4, -24.5
69, 8.4, -24.5
70, 8.4, -24.5
71, 8.4, -24.5
72, 8.4, -24.5
73, 8.4, -24.5
74, 8.4, -24.5
75, 8.4, -24.5
76, 8.4, -24.6
77, 8.4, -24.6
78, 8.4, -24.6
79, 8.4, -24.6
80, 8.4, -24.6
81, 8.4, -24.6
82, 8.4, -24.6
83, 8.5, -24.6
84, 8.5, -24.6
85, 8.5, -24.6
86, 8.5, -24.6
87, 8.5, -24.6
88, 8.5, -24.6
89, 8.5, -24.6
90, 8.5, -24.6
91, 8.5, -24.6
92, 8.5, -24.6
93, 8.5, -24.6
94, 8.5, -24.6
95, 8.5, -24.6
96, 8.5, -24.6
97, 8.5, -24.6
98, 8.5, -24.6
99, 8.5, -24.6
100, 8.5, -24.6
101, 8.5, -24.6
102, 8.5, -24.6
103, 8.5, -24.6
104, 8.5, -24.6
105, 8.5, -24.6
106, 8.5, -24.6
107, 8.5, -24.6
108, 8.5, -24.6
109, 8.5, -24.6
110, 8.5, -24.6
111, 8.5, -24.6
112, 8.5, -24.6
113, 8.5, -24.6
114, 8.5, -24.6
115, 8.6, -24.6
116, 8.6, -24.6
117, 8.6, -24.6
118, 8.6, -24.6
119, 8.6, -24.6
120, 8.6, -24.6
121, 8.6, -24.5
122, 8.6, -24.5
123, 8.6, -24.5
124, 8.6, -24.5
125, 8.6, -24.5
126, 8.6, -24.5
127, 8.6, -24.4
128, 8.6, -24.4
129, 8.6, -24.4
130, 8.5, -24.4
131, 8.5, -24.4
132, 8.5, -24.4
133, 8.4, -24.4
134, 8.4, -24.4
135, 8.4, -24.4
136, 8.4, -24.5
137, 8.4, -24.5
138, 8.4, -24.5
139, 8.4, -24.5
140, 8.4, -24.5
141, 8.4, -24.5
142, 8.4, -24.5
143, 8.4, -24.5
144, 8.4, -24.5
145, 8.4, -24.5
146, 8.4, -24.5
147, 8.4, -24.5
148, 8.4, -24.5
149, 8.4, -24.5
150, 8.4, -24.5
151, 8.4, -24.5
152, 8.4, -24.5
153, 8.4, -24.5
154, 8.4, -24.5
155, 8.4, -24.5
156, 8.4, -24.5
157, 8.4, -24.4
158, 8.4, -24.4
159, 8.4, -24.4
160, 8.4, -24.4
161, 8.4, -24.4
162, 8.4, -24.4
163, 8.4, -24.5
164, 8.4, -24.5
165, 8.4, -24.5
166, 8.4, -24.5
167, 8.4, -24.5
168, 8.4, -24.5
169, 8.4, -24.5
170, 8.4, -24.5
171, 8.4, -24.6
172, 8.4, -24.6
173, 8.4, -24.6
174, 8.4, -24.6
175, 8.4, -24.6
176, 8.4, -24.6
177, 8.4, -24.6
178, 8.4, -24.6
179, 8.4, -24.6
180, 8.4, -24.5
181, 8.4, -24.5
182, 8.4, -24.5
183, 8.4, -24.6
184, 8.4, -24.6
185, 8.4, -24.6
186, 8.4, -24.6
187, 8.4, -24.6
188, 8.4, -24.6
189, 8.4, -24.6
190, 8.4, -24.6
191, 8.4, -24.6
192, 8.5, -24.6
193, 8.5, -24.6
194, 8.5, -24.6
195, 8.5, -24.6
196, 8.5, -24.6
197, 8.5, -24.6
198, 8.5, -24.6
199, 8.4, -24.6
200, 8.4, -24.6
201, 8.4, -24.6
202, 8.4, -24.5
203, 8.4, -24.5
204, 8.4, -24.5
205, 8.4, -24.5
206, 8.4, -24.5
207, 8.4, -24.5
208, 8.4, -24.5
209, 8.4, -24.5
210, 8.4, -24.5
211, 8.4, -24.5
212, 8.4, -24.5
213, 8.4, -24.5
214, 8.4, -24.5
215, 8.4, -24.5
216, 8.4, -24.5
217, 8.4, -24.5
218, 8.4, -24.6
219, 8.4, -24.6
220, 8.4, -24.6
221, 8.4, -24.6
222, 8.4, -24.6
223, 8.4, -24.6
224, 8.4, -24.6
225, 8.4, -24.6
226, 8.4, -24.6
227, 8.4, -24.5
228, 8.4, -24.5
229, 8.4, -24.5
230, 8.4, -24.5
231, 8.4, -24.5
232, 8.4, -24.5
233, 8.4, -24.5
234, 8.4, -24.5
235, 8.4, -24.5
236, 8.4, -24.5
237, 8.4, -24.5
238, 8.4, -24.5
239, 8.4, -24.5
240, 8.4, -24.5
241, 8.4, -24.5
242, 8.4, -24.5
243, 8.5, -24.5
244, 8.5, -24.5
245, 8.5, -24.5
246, 8.5, -24.5
247, 8.5, -24.5
248, 8.5, -24.5
249, 8.5, -24.5
250, 8.5, -24.5
251, 8.5, -24.5
252, 8.5, -24.5
253, 8.5, -24.5
254, 8.5, -24.5
255, 8.5, -24.5
256, 8.5, -24.5
257, 8.5, -24.5
258, 8.5, -24.5
259, 8.5, -24.5
260, 8.5, -24.5
261, 8.5, -24.5
262, 8.5, -24.5
263, 8.5, -24.5
264, 8.5, -24.5
265, 8.5, -24.5
266, 8.5, -24.5
267, 8.5, -24.5
268, 8.5, -24.5
269, 8.5, -24.5
270, 8.5, -24.5
271, 8.5, -24.5
272, 8.5, -24.5
273, 8.5, -24.5
274, 8.6, -24.5
275, 8.6, -24.5
276, 8.6, -24.5
277, 8.6, -24.5
278, 8.5, -24.5
279, 8.5, -24.5
280, 8.5, -24.5
281, 8.5, -24.5
282, 8.5, -24.5
283, 8.5, -24.5
284, 8.6, -24.5
285, 8.6, -24.5
286, 8.6, -24.6
287, 8.5, -24.6
288, 8.5, -24.6
289, 8.5, -24.6
290, 8.5, -24.6
291, 8.5, -24.6
292, 8.5, -24.6
293, 8.5, -24.6
294, 8.5, -24.6
295, 8.5, -24.6
296, 8.5, -24.6
297, 8.5, -24.6
298, 8.6, -24.5
299, 8.6, -24.5
300, 8.6, -24.5
301, 8.6, -24.5
302, 8.6, -24.5
303, 8.6, -24.5
304, 8.6, -24.5
305, 8.6, -24.5
306, 8.6, -24.5
307, 8.6, -24.5
308, 8.6, -24.5
309, 8.6, -24.5
310, 8.6, -24.5
311, 8.6, -24.5
312, 8.6, -24.5
313, 8.6, -24.5
314, 8.6, -24.5
315, 8.6, -24.5
316, 8.6, -24.5
317, 8.6, -24.5
318, 8.6, -24.5
319, 8.6, -24.5
320, 8.6, -24.5
321, 8.6, -24.5
322, 8.6, -24.5
323, 8.6, -24.5
324, 8.6, -24.5
325, 8.7, -24.5
326, 8.7, -24.5
327, 8.7, -24.5
328, 8.7, -24.5
329, 8.7, -24.5
330, 8.7, -24.5
331, 8.7, -24.5
332, 8.6, -24.5
333, 8.6, -24.5
334, 8.6, -24.5
335, 8.6, -24.5
336, 8.6, -24.5
337, 8.6, -24.5
338, 8.6, -24.5
339, 8.6, -24.6
340, 8.6, -24.6
341, 8.6, -24.6
342, 8.6, -24.6
343, 8.6, -24.6
344, 8.6, -24.6
345, 8.6, -24.5
346, 8.6, -24.5
347, 8.6, -24.5
348, 8.6, -24.5
349, 8.6, -24.5
350, 8.6, -24.5
351, 8.6, -24.5
352, 8.6, -24.5
353, 8.6, -24.5
354, 8.6, -24.5
355, 8.6, -24.5
356, 8.6, -24.5
357, 8.6, -24.5
358, 8.6, -24.5
359, 8.6, -24.5
360, 8.6, -24.5
361, 8.6, -24.5
362, 8.6, -24.5
363, 8.6, -24.5
364, 8.6, -24.5
365, 8.6, -24.5
366, 8.6, -24.5
367, 8.6, -24.5
368, 8.6, -24.5
369, 8.6, -24.5
370, 8.6, -24.5
371, 8.6, -24.5
372, 8.6, -24.5
373, 8.6, -24.5
374, 8.6, -24.5
375, 8.6, -24.5
376, 8.6, -24.5
377, 8.6, -24.5
378, 8.6, -24.5
379, 8.6, -24.5
380, 8.6, -24.5
381, 8.6, -24.5
382, 8.6, -24.5
383, 8.6, -24.5
384, 8.6, -24.5
385, 8.6, -24.5
386, 8.6, -24.5
387, 8.6, -24.5
388, 8.6, -24.5
389, 8.6, -24.5
390, 8.4, -24.4
391, 8.4, -24.4
392, 8.4, -24.4
393, 8.4, -24.4
394, 8.4, -24.4
395, 8.4, -24.4
396, 8.4, -24.4
397, 8.4, -24.4
398, 8.4, -24.4
399, 8.4, -24.4
400, 8.4, -24.4
401, 8.4, -24.4
402, 8.4, -24.4
