,Left_Z[N],Right_Z[N]
1, 17.1, -22.4
2, 17.1, -22.4
3, 17.1, -22.4
4, 17.1, -22.4
5, 17.1, -22.4
6, 17.1, -22.5
7, 17.1, -22.5
8, 17.2, -22.5
9, 17.2, -22.5
10, 17.2, -22.5
11, 17.2, -22.5
12, 17.2, -22.5
13, 17.2, -22.5
14, 17.2, -22.4
15, 17.2, -22.4
16, 17.2, -22.4
17, 17.2, -22.4
18, 17.2, -22.4
19, 17.2, -22.4
20, 17.2, -22.4
21, 17.2, -22.4
22, 17.2, -22.5
23, 17.2, -22.5
24, 17.2, -22.5
25, 17.2, -22.5
26, 17.2, -22.5
27, 17.2, -22.5
28, 17.2, -22.5
29, 17.1, -22.5
30, 17.1, -22.5
31, 17.1, -22.5
32, 17.1, -22.5
33, 17.1, -22.5
34, 17.1, -22.5
35, 17.1, -22.5
36, 17.1, -22.5
37, 17.1, -22.5
38, 17.1, -22.5
39, 17.1, -22.5
40, 17.1, -22.4
41, 17.1, -22.4
42, 17.1, -22.4
43, 17.1, -22.4
44, 17.1, -22.4
45, 17.2, -22.4
46, 17.2, -22.5
47, 17.2, -22.5
48, 17.2, -22.5
49, 17.2, -22.5
50, 17.2, -22.5
51, 17.2, -22.5
52, 17.2, -22.5
53, 17.2, -22.5
54, 17.2, -22.5
55, 17.2, -22.5
56, 17.2, -22.5
57, 17.2, -22.5
58, 17.2, -22.5
59, 17.2, -22.4
60, 17.2, -22.4
61, 17.2, -22.5
62, 17.2, -22.5
63, 17.2, -22.5
64, 17.2, -22.5
65, 17.2, -22.5
66, 17.1, -22.5
67, 17.1, -22.5
68, 17.1, -22.5
69, 17.1, -22.5
70, 17.1, -22.4
71, 17.1, -22.4
72, 17.1, -22.4
73, 17.0, -22.4
74, 17.0, -22.4
75, 17.0, -22.4
76, 17.0, -22.4
77, 17.0, -22.5
78, 17.0, -22.5
79, 17.0, -22.5
80, 17.0, -22.5
81, 17.0, -22.5
82, 17.0, -22.5
83, 17.0, -22.5
84, 17.0, -22.4
